Rank,Player_Name,Matches_Played,Average,Strike_Rate,Boundary_Percentage,Batting_Impact_Score,Ranking_Score
412,MM Sharma,120,6.94,91.91,48.0,233.46,29.21
413,JJ Bumrah,150,10.43,90.12,41.1,154.56,29.1
414,MP Breetzke,1,14.0,116.67,71.43,79.33,29.07
415,CR Woakes,21,13.0,101.3,51.28,167.65,28.99
416,Joginder Sharma,16,9.0,120.0,44.44,114.0,28.96
417,AA Chavan,13,6.0,109.09,66.67,72.55,28.86
418,AB Barath,3,21.0,100.0,61.9,113.0,28.77
419,Arshad Khan (2),1,5.0,125.0,80.0,70.0,28.75
420,Imran Tahir,59,8.25,89.19,60.61,94.09,28.72
421,SK Warne,55,9.9,92.52,46.46,343.26,28.71
422,B Sumanth,4,35.0,94.59,34.29,99.8,28.62
423,R Bishnoi,3,6.33,111.76,84.21,84.38,28.57
424,JR Philippe,5,19.5,101.3,53.85,167.65,28.4
425,SB Styris,12,18.71,98.5,44.27,245.75,28.36
426,Harpreet Singh,8,17.57,103.36,47.15,236.18,28.36
427,SD Lad,1,15.0,115.38,66.67,80.19,28.31
428,PA Reddy,11,16.4,102.5,43.9,297.25,28.28
429,DJ Jacobs,7,13.14,93.88,69.57,184.94,28.18
430,R McLaren,18,19.88,92.98,38.99,284.99,27.99
431,RV Patel,7,16.0,109.59,45.0,174.79,27.92
432,S Sreesanth,44,8.5,61.82,70.59,81.91,27.89
433,I Sharma,117,9.5,82.61,49.12,126.8,27.8
434,MM Patel,63,6.5,95.12,51.28,106.06,27.76
435,JDP Oram,15,13.25,98.15,50.94,208.07,27.71
436,VH Zol,2,14.5,111.54,62.07,99.27,27.71
437,Vijaykumar Vyshak,20,7.0,116.67,42.86,79.33,27.56
438,L Ronchi,5,6.8,100.0,88.24,101.0,27.56
439,A Nortje,49,7.0,98.0,48.98,122.5,27.53
440,MJ Clarke,6,16.33,104.26,48.98,199.13,27.46
441,Mukesh Choudhary,16,6.0,100.0,66.67,59.0,27.43
442,RJ Harris,37,9.75,104.46,35.9,227.73,27.37
443,KC Cariappa,11,8.0,114.29,50.0,93.14,27.3
444,Z Khan,99,8.36,82.98,47.86,216.99,27.26
